ngc_bmu_id,2016,2017,2018,2019,2020
ABRBO-1,0.0,0.0,0.0,580494.43,625901.122
ABRTW-1,0.0,0.0,0.0,175057.484,194075.514
ABTH7,4773455.212,1781808.064,346680.444,297628.44,0.0
ABTH7G,60.988,0.0,250.912,108.912,49.428
ABTH8,4072688.248,1870113.436,355742.248,267689.204,0.0
ABTH8G,54.616,10.620000000000001,154.848,103.116,37.263999999999996
ABTH9,4953762.588,1755050.164,358133.512,871648.0,0.0
ABTH9G,60.488,49.08,163.14,124.028,52.824
ACHRW-1,0.0,0.0,0.0,205695.972,217333.422
AKGLW-2,0.0,0.0,0.0,474725.21,434032.238
ANSUW-1,63449.904,72531.944,91988.534,88533.592,103457.762
ARCHW-1,253392.56,464934.582,429611.722,465105.704,415568.132
ASHWW-1,0.0,0.0,0.0,194332.852,206674.89
BABAW-1,268066.396,298598.62,269726.59,276969.87,227927.292
BAGE-1,4720647.6,2780690.6,1832799.9,1780283.2,118968.0
BAGE-2,3041.42,3236.7,1215.412,5444.1,4579.91
BEATO-1,0.0,0.0,0.0,983595.196,941659.58
BEATO-2,0.0,0.0,0.0,999238.892,1044904.762
BEATO-3,0.0,0.0,0.0,990001.95,1390195.37
BEATO-4,0.0,0.0,0.0,1165152.956,1352595.9
BEINW-1,0.0,0.0,0.0,413633.868,494461.788
BETHW-1,0.0,0.0,0.0,84274.62,99650.622
BHLAW-1,0.0,15454.094,380263.282,434946.208,363599.99
BLKWW-1,0.0,0.0,0.0,308483.384,345055.092
BLLA-1,315760.02,288558.134,288175.732,355850.716,312677.75
BLLA-2,0.0,0.0,0.0,225978.082,227790.4
BNWKW-1,0.0,0.0,0.0,113178.812,100802.112
BOWLW-1,548633.728,593909.508,548303.546,566782.422,503077.628
BRBEO-1,0.0,1629859.46,1676697.936,1887208.754,2009790.144
BRDUW-1,324398.774,331728.1,328815.04,329311.044,330331.212
BRGG-1,41834.716,40132.96,19547.984,13454.146,6218.234
BRYBW-1,296721.652,339144.394,358021.416,330509.91,311148.218
BRYP-1,5017.024,15155.07,4908.058,457.19,0.0
BTUIW-2,0.0,0.0,0.0,178650.394,180757.618
BURBW-1,507108.352,429583.998,517012.412,489291.958,593263.336
CAIRW-2,211369.918,264040.574,201612.082,229919.068,229099.884
CARR-1,2649401.0,4672711.8,4649803.2,3879050.0,2584763.6
CARR-2,2743570.0,4673001.4,4398501.0,4271459.6,2159258.8
CAS-BEU01,0.0,0.0,0.0,464120.294,673114.152
CAS-CLU01,0.0,0.0,0.0,469554.936,611342.706
CAS-CON01,0.0,0.0,0.0,722893.076,872339.328
CAS-GAR01,0.0,0.0,0.0,334988.698,411358.59
CAS-KIL01,0.0,0.0,0.0,344273.534,503401.586
CAS-MOR01,0.0,0.0,0.0,486833.488,675607.116
CDCL-1,4077721.98,3719748.42,5670616.5,4902268.32,3848851.8
CGTHW-1,0.0,0.0,0.0,291281.352,210738.028
CLAC-1,159244.876,194988.462,180321.116,163064.788,215523.096
CLDCW-1,516423.402,774830.834,980707.316,988863.7,1007667.784
CLDNW-1,600678.386,963855.666,1083546.214,1067299.122,1053436.492
CLDRW-1,0.0,0.0,0.0,184053.38,182030.412
CLDSW-1,557705.276,640560.43,641889.606,484806.976,593469.736
CLFLW-1,0.0,0.0,0.0,34615.344,39956.878
CNQPS-1,1999774.854,1159426.674,1112125.644,1616700.204,1390680.144
CNQPS-2,3226230.504,1800871.254,926708.076,550684.89,800075.934
CNQPS-3,2095557.534,1177026.228,963307.044,860138.118,456545.502
CNQPS-4,2168047.098,855863.694,809392.878,1387239.84,1273086.36
CORB-1,6971.296,70031.1,128025.814,74108.216,22491.696
COSO-1,7124280.5,3032325.2,2879543.16,4737311.258,3987546.904
COTPS-1,925975.94,1494952.902,1471671.636,1093735.802,0.0
COTPS-2,852594.47,2098411.302,1720088.0,1240972.444,0.0
COTPS-3,1114816.174,1564572.588,1313216.504,756303.194,0.0
COTPS-4,387321.16,1193119.202,1139953.454,402286.25,0.0
COUWW-1,0.0,0.0,0.0,111344.77,136808.464
COWE1,5525.252,4408.574,3654.896,524.2379999999999,565.562
